iter	Logloss
0	0.6466277599
1	0.6054579735
2	0.5695467472
3	0.5398599625
4	0.5120585442
5	0.4878790379
6	0.4657326698
7	0.4464280128
8	0.4300014496
9	0.4171119213
10	0.4065658092
11	0.3920652151
12	0.3805644035
13	0.3732658863
14	0.3649961472
15	0.3578080416
16	0.3502631187
17	0.3421357632
18	0.3363701344
19	0.3276833773
20	0.3196997643
21	0.3173778057
22	0.3125162363
23	0.3082548857
24	0.3027640343
25	0.2984592438
26	0.2943114042
27	0.2915055752
28	0.28726964
29	0.285848999
30	0.2817834377
31	0.2771553993
32	0.2742413521
33	0.2724669456
34	0.2702447891
35	0.2683701038
36	0.2659080505
37	0.2630049229
38	0.2615354538
39	0.2593259573
40	0.2549635887
41	0.2531636
42	0.2526762962
43	0.2496724129
44	0.247007966
45	0.2436571598
46	0.240746665
47	0.2384238958
48	0.2365546703
49	0.2345778465
50	0.2312931061
51	0.2294935226
52	0.227391243
53	0.2259655476
54	0.2246853828
55	0.2228107452
56	0.2200563192
57	0.2189575672
58	0.2170561314
59	0.2159220695
60	0.2141129732
61	0.2119229794
62	0.2110074997
63	0.210128212
64	0.2086912632
65	0.2076431751
66	0.2053695202
67	0.2031560659
68	0.2014430761
69	0.2000060081
70	0.197971499
71	0.1956390977
72	0.1935155392
73	0.1926630259
74	0.1911992788
75	0.1903539896
76	0.1886110067
77	0.1875703454
78	0.1867496014
79	0.1853963852
80	0.1838941932
81	0.1831963301
82	0.1827231169
83	0.1812369823
84	0.1799481392
85	0.1794133067
86	0.1783397913
87	0.1776862741
88	0.1761779666
89	0.1754005194
90	0.1749593496
91	0.1736189961
92	0.1729958773
93	0.1719107866
94	0.1709718943
95	0.1701830387
96	0.1691682816
97	0.1681652546
98	0.1664699316
99	0.1653612852
100	0.1637063503
101	0.1628165722
102	0.1625200272
103	0.1617647171
104	0.1608224392
105	0.1594404936
106	0.157986629
107	0.1566638589
108	0.1562318563
109	0.1546033382
110	0.1535719156
111	0.1534018159
112	0.15291363
113	0.1522747874
114	0.1519404173
115	0.1504010081
116	0.1490523934
117	0.1484309196
118	0.1481529713
119	0.1475525856
120	0.1469037771
121	0.1454518795
122	0.1446470976
123	0.1439760804
124	0.1431566596
125	0.1420488834
126	0.141190362
127	0.1398098707
128	0.1383437991
129	0.1375938416
130	0.1370307207
131	0.1362827659
132	0.1359853745
133	0.1358275652
134	0.1347471356
135	0.1339320302
136	0.1337249994
137	0.132420969
138	0.1319114923
139	0.131465137
140	0.1303513527
141	0.1300657988
142	0.1289510727
143	0.1283851385
144	0.1281369328
145	0.1273969173
146	0.1272593737
147	0.1268909454
148	0.1261428475
149	0.1259756565
150	0.1250454903
151	0.1237058163
152	0.1235702395
153	0.123124826
154	0.1229456663
155	0.1219902039
156	0.1218474507
157	0.1205520153
158	0.1195205331
159	0.1184824705
160	0.1178138256
161	0.1175726175
162	0.1173053145
163	0.1163321495
164	0.1152940273
165	0.1151964426
166	0.1150887251
167	0.114943552
168	0.1142072439
169	0.1134687662
170	0.1122668505
171	0.1113983274
172	0.1104855061
173	0.1097185016
174	0.1093684077
175	0.108621335
176	0.10775038
177	0.106961298
178	0.1068161726
179	0.1059276104
180	0.104889369
181	0.1041125774
182	0.1034593225
183	0.1033236504
184	0.1026785731
185	0.1023122549
186	0.1014581442
187	0.1013216972
188	0.1011992216
189	0.1011261463
190	0.1006618261
191	0.1000981092
192	0.09946309924
193	0.09900164604
194	0.09835239053
195	0.0979280591
196	0.09750525355
197	0.09658910036
198	0.09648047686
199	0.09635437727
200	0.09621108174
201	0.09552828074
202	0.09521856308
203	0.09455603361
204	0.0937682569
205	0.09334258437
206	0.09278048277
207	0.09186326861
208	0.09172059298
209	0.09085358381
210	0.09043582678
211	0.09037659168
212	0.09027773142
213	0.09023139477
214	0.08947405815
215	0.08872207403
216	0.08808233738
217	0.08768792152
218	0.0876437664
219	0.08711858988
220	0.08701076508
221	0.08667761683
222	0.08655939102
223	0.08645946383
224	0.0862311542
225	0.08580722809
226	0.08552184105
227	0.08530033827
228	0.08483942747
229	0.08479568362
230	0.08424727917
231	0.0840372324
232	0.08325836658
233	0.08241592646
234	0.08203312159
235	0.08138210773
236	0.08102427721
237	0.08092098832
238	0.08088285923
239	0.08079530001
240	0.0803884089
241	0.0803432405
242	0.08015168905
243	0.07950286865
244	0.07897247672
245	0.07831893563
246	0.07810091972
247	0.07755709887
248	0.07752265334
249	0.07713050842
250	0.07695361376
251	0.07640371323
252	0.07552160025
253	0.07497758865
254	0.07448244095
255	0.07416359782
256	0.07379314899
257	0.07349950671
258	0.07317652702
259	0.07305111289
260	0.07257570028
261	0.07175781727
262	0.07110697031
263	0.07106906772
264	0.07103477716
265	0.07100160122
266	0.07059296966
267	0.07025899291
268	0.06995578408
269	0.06976629496
270	0.06959748268
271	0.06899811029
272	0.06876948476
273	0.06840666533
274	0.06811623573
275	0.06808094382
276	0.06800493002
277	0.06746678352
278	0.0671900928
279	0.06679106951
280	0.06632942557
281	0.06629835367
282	0.06626492143
283	0.0660236001
284	0.06554362774
285	0.06534422636
286	0.06529005766
287	0.0649785161
288	0.06449149251
289	0.06433503032
290	0.06417894363
291	0.06389695406
292	0.06386501789
293	0.06370799541
294	0.06364274025
295	0.06300595999
296	0.06289498806
297	0.06286575794
298	0.06241643429
299	0.06213839054
